reserved;definition;name;value;briefdescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 41;;;;
";;;;
";;;;
;_UNIT_TYPES;T_TEMPERATURE;9;SI-Base-Quantities
;_UNIT_TYPES;T_TIME;5;
;_UNIT_TYPES;T_VOLUME;17;
;_UNIT_TYPES;T_MASS_DENSITY;25;Derivatives A
;_UNIT_TYPES;T_SPECIFIC_VOLUME;27;Derivatives A
;_UNIT_TYPES;T_VOLUME_FLOW;39;Derivatives A
;_UNIT_TYPES;T_MASS_FLOW;41;Derivatives A
;_UNIT_TYPES;T_NORMAL_VOLUME_FLOW;42;
;_UNIT_TYPES;T_FREQUENCY;47;
;_UNIT_TYPES;T_PRESSURE;51;Containing special Names
;_UNIT_TYPES;T_POWER;55;Containing special Names
;_T_VOLUME_FLOW;CUBIC_METER_PER_SECOND;13;
;_T_VOLUME_FLOW;CUBIC_METER_PER_MINUTE;14;
;_T_VOLUME_FLOW;CUBIC_METER_PER_HOUR;15;
;_T_VOLUME_FLOW;CUBIC_METER_PER_DAY;16;
;_T_VOLUME_FLOW;CUBIC_FEET_PER_SECOND;29;
;_T_VOLUME_FLOW;CUBIC_FEET_PER_MINUTE;30;
;_T_VOLUME_FLOW;CUBIC_FEET_PER_HOUR;31;
;_T_VOLUME_FLOW;CUBIC_FEET_PER_DAY;32;
;_T_VOLUME_FLOW;CUBIC_KILOFEET_PER_SECOND;35;
;_T_VOLUME_FLOW;CUBIC_KILOFEET_PER_MINUTE;36;
;_T_VOLUME_FLOW;CUBIC_KILOFEET_PER_HOUR;37;
;_T_VOLUME_FLOW;CUBIC_KILOFEET_PER_DAY;38;
;_T_VOLUME_FLOW;LITER_PER_SECOND;48;
;_T_VOLUME_FLOW;LITER_PER_MINUTE;49;
;_T_VOLUME_FLOW;LITER_PER_HOUR;50;
;_T_VOLUME_FLOW;LITER_PER_DAY;51;
;_T_VOLUME_FLOW;KILOLITER_PER_SECOND;52;
;_T_VOLUME_FLOW;HECTOLITER_PER_SECOND;56;
;_T_VOLUME_FLOW;HECTOLITER_PER_MINUTE;57;
;_T_VOLUME_FLOW;HECTOLITER_PER_HOUR;58;
;_T_VOLUME_FLOW;HECTOLITER_PER_DAY;59;
;_T_VOLUME_FLOW;KILOLITER_PER_MINUTE;60;
;_T_VOLUME_FLOW;KILOLITER_PER_HOUR;61;
;_T_VOLUME_FLOW;KILOLITER_PER_DAY;62;
;_T_VOLUME_FLOW;US_GALLON_PER_SECOND;63;
;_T_VOLUME_FLOW;US_GALLON_PER_MINUTE;64;
;_T_VOLUME_FLOW;US_GALLON_PER_HOUR;65;
;_T_VOLUME_FLOW;US_GALLON_PER_DAY;66;
;_T_VOLUME_FLOW;IMPERIAL_GALLON_PER_SECOND;83;
;_T_VOLUME_FLOW;IMPERIAL_GALLON_PER_MINUTE;84;
;_T_VOLUME_FLOW;IMPERIAL_GALLON_PER_HOUR;85;
;_T_VOLUME_FLOW;IMPERIAL_GALLON_PER_DAY;86;
;_T_VOLUME_FLOW;BARREL_PER_SECOND;104;
;_T_VOLUME_FLOW;BARREL_PER_MINUTE;105;
;_T_VOLUME_FLOW;BARREL_PER_HOUR;106;
;_T_VOLUME_FLOW;BARREL_PER_DAY;107;
;_T_VOLUME_FLOW;BARREL_US_BEER_PER_DAY;127;
;_T_VOLUME_FLOW;BARREL_US_BEER_PER_HOUR;128;
;_T_VOLUME_FLOW;BARREL_US_BEER_PER_MINUTE;129;
;_T_VOLUME_FLOW;BARREL_US_BEER_PER_SECOND;130;
;_T_MASS_FLOW;GRAM_PER_SECOND;1;g/s
;_T_MASS_FLOW;GRAM_PER_MINUTE;2;g/min
;_T_MASS_FLOW;GRAM_PER_HOUR;3;g/h
;_T_MASS_FLOW;KILOGRAM_PER_SECOND;5;kg/s
;_T_MASS_FLOW;KILOGRAM_PER_MINUTE;6;kg/min
;_T_MASS_FLOW;KILOGRAM_PER_HOUR;7;kg/h
;_T_MASS_FLOW;KILOGRAM_PER_DAY;8;kg/d
;_T_MASS_FLOW;METRIC_TON_PER_SECOND;9;
;_T_MASS_FLOW;METRIC_TON_PER_MINUTE;10;
;_T_MASS_FLOW;METRIC_TON_PER_HOUR;11;
;_T_MASS_FLOW;METRIC_TON_PER_DAY;12;
;_T_MASS_FLOW;POUND_PER_SECOND;13;
;_T_MASS_FLOW;POUND_PER_MINUTE;14;
;_T_MASS_FLOW;POUND_PER_HOUR;15;
;_T_MASS_FLOW;POUND_PER_DAY;16;
;_T_MASS_FLOW;SHORT_TON_PER_SECOND;17;
;_T_MASS_FLOW;SHORT_TON_PER_MINUTE;18;
;_T_MASS_FLOW;SHORT_TON_PER_HOUR;19;
;_T_MASS_FLOW;SHORT_TON_PER_DAY;20;
;_T_POWER;WATT;1;W
;_T_POWER;MEGAWATT;4;MW
;_T_POWER;KILOWATT;5;KW
;_T_POWER;KILOJOULE_PER_SECOND;19;KJ/s
;_T_POWER;KILOJOULE_PER_MINUTE;20;KJ/min
;_T_POWER;KILOJOULE_PER_HOUR;21;KJ/h
;_T_POWER;KILOJOULE_PER_DAY;22;KJ/d
;_T_POWER;MEGAJOULE_PER_HOUR;25;MJ/h
;_T_POWER;BRITISH_THERMAL_UNIT_PER_SECOND;27;BTU/s
;_T_POWER;BRITISH_THERMAL_UNIT_PER_MINUTE;28;BTU/min
;_T_POWER;BRITISH_THERMAL_UNIT_PER_HOUR;29;BTU/hour
;_T_POWER;BRITISH_THERMAL_UNIT_PER_DAY;30;BTU/day
;_T_POWER;THOUSAND_BRITISH_THERMAL_UNIT_PER_MINUTE;32;MBTU/min
;_T_POWER;THOUSAND_BRITISH_THERMAL_UNIT_PER_HOUR;33;MBTU/hour
;_T_POWER;THOUSAND_BRITISH_THERMAL_UNIT_PER_DAY;34;MBTU/day
;_T_POWER;MILLION_BRITISH_THERMAL_UNIT_PER_HOUR;37;MMBTU/hour
;_T_POWER;MILLION_BRITISH_THERMAL_UNIT_PER_DAY;38;MMBTU/day
;_T_PRESSURE;PASCAL_U;1;
;_T_PRESSURE;GIGAPASCAL;2;
;_T_PRESSURE;MEGAPASCAL;3;
;_T_PRESSURE;KILOPASCAL;4;
;_T_PRESSURE;MILLIPASCAL;5;
;_T_PRESSURE;MICROPASCAL;6;
;_T_PRESSURE;HECTOPASCAL;7;
;_T_PRESSURE;BAR;8;
;_T_PRESSURE;MILLIBAR;9;
;_T_PRESSURE;PASCAL_ABSOLUTE;10;
;_T_PRESSURE;PASCAL_GAUGE;11;
;_T_PRESSURE;GIGAPASCA_ABSOLUTE;12;
;_T_PRESSURE;GIGAPASCA_GAUGE;13;
;_T_PRESSURE;MEGAPASCAL_ABSOLUTE;14;
;_T_PRESSURE;MEGAPASCAL_GAUGE;15;
;_T_PRESSURE;KILOPASCAL_ABSOLUTE;16;
;_T_PRESSURE;KILOPASCAL_GAUGE;17;
;_T_PRESSURE;MILLIPASCAL_ABSOLUTE;18;
;_T_PRESSURE;MILLIPASCAL_GAUGE;19;
;_T_PRESSURE;MICROPASCAL_ABSOLUTE;20;
;_T_PRESSURE;MICROPASCAL_GAUGE;21;
;_T_PRESSURE;HECTOPASCAL_ABSOLUTE;22;
;_T_PRESSURE;HECTOPASCAL_GAUGE;23;
;_T_PRESSURE;INCH_H2O_60F_ABSOLUTE;24;
;_T_PRESSURE;INCH_H2O_60F_GAUGE;25;
;_T_PRESSURE;INCH_H2O_4C_ABSOLUTE;26;
;_T_PRESSURE;INCH_H2O_4C_GAUGE;27;
;_T_PRESSURE;INCH_H2O_68F_ABSOLUTE;28;
;_T_PRESSURE;INCH_H2O_68F_GAUGE;29;
;_T_PRESSURE;MILLIMETER_H2O_ABSOLUTE;30;
;_T_PRESSURE;MILLIMETER_H2O_GAUGE;31;
;_T_PRESSURE;MILLIMETER_H2O_4C_ABSOLUTE;32;
;_T_PRESSURE;MILLIMETER_H2O_4C_GAUGE;33;
;_T_PRESSURE;MILLIMETER_H2O_68F_ABSOLUTE;34;
;_T_PRESSURE;MILLIMETER_H2O_68F_GAUGE;35;
;_T_PRESSURE;FEET_H2O_ABSOLUTE_GAUGE;36;
;_T_PRESSURE;FEET_H2O_GAUGE;37;
;_T_PRESSURE;FEET_H2O_4C_ABSOLUTE;38;
;_T_PRESSURE;FEET_H2O_4C_GAUGE;39;
;_T_PRESSURE;FEET_H2O_68F_ABSOLUTE;40;
;_T_PRESSURE;FEET_H2O_68F_GAUGE;41;
;_T_PRESSURE;INCH_HG_ABSOLUTE;42;
;_T_PRESSURE;INCH_HG_GAUGE;43;
;_T_PRESSURE;INCH_HG_0C_ABSOLUTE;44;
;_T_PRESSURE;INCH_HG_0C_GAUGE;45;
;_T_PRESSURE;MILLIMETER_HG_ABSOLUTE;46;
;_T_PRESSURE;MILLIMETER_HG_GAUGE;47;
;_T_PRESSURE;MILLIMETER_HG_0C_ABSOLUTE;48;
;_T_PRESSURE;MILLIMETER_HG_0C_GAUGE;49;
;_T_PRESSURE;INCH_H2O_60F;50;
;_T_PRESSURE;INCH_H2O_4C;51;
;_T_PRESSURE;INCH_H2O_68F;52;
;_T_PRESSURE;MILLIMETER_H2O;53;
;_T_PRESSURE;MILLIMETER_H2O_4C;54;
;_T_PRESSURE;MILLIMETER_H2O_68F;55;
;_T_PRESSURE;FEET_H2O;56;
;_T_PRESSURE;FEET_H2O_4C;57;
;_T_PRESSURE;FEET_H2O_68F;58;
;_T_PRESSURE;INCH_HG;59;
;_T_PRESSURE;INCH_HG_0C;60;
;_T_PRESSURE;MILLIMETER_HG;61;
;_T_PRESSURE;MILLIMETER_HG_0C;62;
;_T_PRESSURE;TORR;63;
;_T_PRESSURE;ATMOSPHERE;64;
;_T_PRESSURE;POUNDFORCE_PER_SQUARE_INCH;65;
;_T_PRESSURE;POUNDFORCE_PER_SQUARE_INCH_ABSOLUTE;66;
;_T_PRESSURE;POUNDFORCE_PER_SQUARE_INCH_GAUGE;67;
;_T_PRESSURE;GRAMFORCE_PER_SQUARE_CENTIMETER;68;
;_T_PRESSURE;KILOGRAMFORCE_PER_SQUARE_CENTIMETER;69;
;_T_PRESSURE;GRAMFORCE_PER_SQUARE_CENTIMETER_ABSOLUTE;70;
;_T_PRESSURE;GRAMFORCE_PER_SQUARE_CENTIMETER_GAUGE;71;
;_T_PRESSURE;KILOGRAMFORCE_PER_SQUARE_CENTIMETER_ABSOLUTE;72;
;_T_PRESSURE;KILOGRAMFORCE_PER_SQUARE_CENTIMETER_GAUGE;73;
;_T_PRESSURE;BAR_ABSOLUTE;74;
;_T_PRESSURE;BAR_GAUGE;75;
;_T_PRESSURE;MILLIBAR_GAUGE;76;
;_T_TEMPERATURE;KELVIN;1;
;_T_TEMPERATURE;CELSIUS;2;
;_T_TEMPERATURE;FAHRENHEIT;3;
;_T_TEMPERATURE;RANKINE;4;
;_STEAMSTATUS;WATER;0;
;_STEAMSTATUS;SATURATED_STEAM;1;
;_STEAMSTATUS;OVERHEAT_STEAM;2;
;_STEAMTYPE;STEAMTYPE_OVERHEAT;0;
;_STEAMTYPE;STEAMTYPE_SATURATED;1;
;_STEAMTYPE;STEAMTYPE_WATER;2;
;_LIQUIDCORRECTION;DENSITY_CORRECTION;0;
;_LIQUIDCORRECTION;VOLUME_CORRECTION;1;
;_LIQUIDCORRECTION;WITHOUT_CORRECTION;2;
;_TSELECTION;TPRESET;0;
;_TSELECTION;TSENSOR;1;
;_GAS_REF_CONDITIONS;UK;0;14.7 psia 60?F (15.4?C) (UK)
;_GAS_REF_CONDITIONS;US;1;14.7 psia70?F (21.6?C) (US)
;_GAS_REF_CONDITIONS;DEG0;2;1013.25 mbar and 0?C
;_GAS_REF_CONDITIONS;DEG20;3;(CGPM),1013.25 mbar and 20?C
;_GAS_COMPUTATION_TYPE;IDEAL_GAS;0;Real gas equation
;_GAS_COMPUTATION_TYPE;ISO12213_MOLAR;1;ISO12213_2/AGA8
;_GAS_COMPUTATION_TYPE;ISO12213_PHISICAL_PROPERTY;2;ISO12213_3/GERG88
;_GAS_MASS_COMPUTATION;REFERENCY_DENSITY;0;Select the Standard Density
;_GAS_MASS_COMPUTATION;ACTUAL_DENSITY;1;Seletct  Preset Density or AI. or Hart.
;_MVM_DIAGNOSIS_ALARM_TABLE;ALM_FLOWRATE_REACH_QMAX;0;flowrate reach Q max alarm limits
;_MVM_DIAGNOSIS_ALARM_TABLE;ALM_FLOWRATE_REACH_QMIN;1;flowrate reach Q min alarm limits
;_MVM_DIAGNOSIS_ALARM_TABLE;ALM_FLOWRATE_GT_103;2;flow rate is greater than 103 per QMax
;_MVM_DIAGNOSIS_ALARM_TABLE;ALM_STEAM_STATUS_MISMATCH;3;steam status mismatch
;_MVM_DIAGNOSIS_ALARM_TABLE;ALM_LOW_Q_VALUE_CUTOFF;4;
;;DIAG_SIZE;5;
;_RELATIVE_DENSITY_REF;RELATIVE_DENSITY_REF_DEG0_101325;0;T2 = 0?C , 1.01325 bar
;_RELATIVE_DENSITY_REF;RELATIVE_DENSITY_REF_DEG15_101325;1;T2 = 20?C , 1.01325 bar
;_RELATIVE_DENSITY_REF;RELATIVE_DENSITY_REF__60F_101592;2;T2 = 60?F ,1.01592bar
;_RELATIVE_DENSITY_REF;RELATIVE_DENSITY_REF__60F_101560;3;T2 = 60?F ,14.73Psi
;_CALORIFIC_REF;CALORIFIC_REF_DEG25_DEG0_101325;0;T1=25 Deg,t2=0  P2=1.01325 Bar
;_CALORIFIC_REF;CALORIFIC_REF_DEG0_DEG0_101325;1;T1=0 Deg,t2=0  P2=1.01325 Bar
;_CALORIFIC_REF;CALORIFIC_REF_DEG15_DEG15_101325;2;T1=15 Deg,t2=15 P2=1.01325 Bar
;_CALORIFIC_REF;CALORIFIC_REF_60F_6OF_101592;3;T1=60F Deg,t2=60F  P2=1.01592Bar
;_CALORIFIC_REF;CALORIFIC_REF_60F_6OF_101560;4;T1=60F Deg,t2=60F  P2=1.01560 Bar
;_MVM_STATUS_TABLE;UNPROTECTED;0;
;_MVM_STATUS_TABLE;CALCULATE;1;
;_MVM_STATUS_TABLE;PROTECTED;2;
;_MVM_SW;ENABLE;0;
;_MVM_SW;DISABLE;1;
;_GAS_CFG;NONGONFIGED;0;
;_GAS_CFG;GONFIGING;1;
;_GAS_CFG;GONFIGED;2;
;_MATRIX_TABLE;SIZE3X3;0;
;_MATRIX_TABLE;SIZE4X3;1;four pressure and three temperature
;_MATRIX_TABLE;SIZE9X7;2;nine pressure and seven temperature
;_PWR_FWD_REV_SW;FWD_ONLY;0;Just measure forward flow
;_PWR_FWD_REV_SW;FWD_REV;1;measure forward and reverse flow
